Title,ActualPrice,Status,Description,PostalCode,StateCode,City,Url
10-Park-Ave-A25_New-York_NY_10016_M46980-81676,$2995000,for_sale,"baths_consolidated: 2, type: coop, sub_type: co_op, sold_date: 2021-08-04",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/10-Park-Ave-A25_New-York_NY_10016_M46980-81676
217-E-30th-St-Apt-1_New-York_NY_10016_M90263-63790,$3890000,for_sale,"baths_consolidated: 7, type: multi_family",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/217-E-30th-St-Apt-1_New-York_NY_10016_M90263-63790
112-E-35th-St-Unit-Townhouse_New-York_NY_10016_M38860-63330,$5500000,for_sale,"baths_consolidated: 6, type: townhomes, sub_type: townhouse",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/112-E-35th-St-Unit-Townhouse_New-York_NY_10016_M38860-63330
35-Park-Ave-Apt-18A_New-York_NY_10016_M96611-99767,$1150000,for_sale,"baths_consolidated: 2, type: coop, sub_type: co_op",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/35-Park-Ave-Apt-18A_New-York_NY_10016_M96611-99767
138-E-36th-St-Apt-8C_New-York_NY_10016_M32749-53140,$1350000,for_sale,"baths_consolidated: 2, type: coop, sub_type: co_op",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/138-E-36th-St-Apt-8C_New-York_NY_10016_M32749-53140
368-3rd-Ave-Ph-B_New-York_NY_10016_M91178-90314,$9995000,for_sale,"baths_consolidated: 3.5, type: condos, sub_type: condo",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/368-3rd-Ave-Ph-B_New-York_NY_10016_M91178-90314
139-E-33rd-St-Ph-F_New-York_NY_10016_M97605-93740,$575000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2019-08-12",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/139-E-33rd-St-Ph-F_New-York_NY_10016_M97605-93740
277-5th-Ave-B46_New-York_NY_10016_M38058-22450,$9995000,for_sale,"baths_consolidated: 3.5, type: condos, sub_type: condo",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/277-5th-Ave-B46_New-York_NY_10016_M38058-22450
218-E-31st-St_New-York_NY_10016_M96326-60677,$4995000,for_sale,"baths_consolidated: 6, type: townhomes, sub_type: townhouse",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/218-E-31st-St_New-York_NY_10016_M96326-60677
630-1st-Ave-Apt-33L_New-York_NY_10016_M41359-83813,$1849000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2013-07-31",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/630-1st-Ave-Apt-33L_New-York_NY_10016_M41359-83813
